"DAY","IMEI","LONGITUDE","LATITUDE","LOCATION_TYPE","ELECTRICITY","STATUS","ACTIVE_TIME","LBS_LAC","LBS_CELL","LBS_RXLEV"
"30-SEP-16 12.00.00.000000 AM","861510030001263","104.111337","30.886882","0","3.955","","30-SEP-16 11.00.04.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001370","104.111482","30.886968","0","3.774","","30-SEP-16 11.00.20.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001263","104.111292","30.886912","0","3.961","","30-SEP-16 11.01.11.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001370","104.111455","30.886925","0","3.791","","30-SEP-16 11.01.27.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001263","104.111282","30.886955","0","3.972","","30-SEP-16 11.02.17.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001370","104.111825","30.887268","0","3.796","","30-SEP-16 11.02.33.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001263","104.111337","30.886923","0","3.950","","30-SEP-16 11.03.23.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001370","104.111432","30.886873","0","3.780","","30-SEP-16 11.03.43.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001263","104.111302","30.887035","0","3.950","","30-SEP-16 11.04.29.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001370","104.111402","30.886922","0","3.780","","30-SEP-16 11.04.52.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001263","104.111223","30.886907","0","3.955","","30-SEP-16 11.05.41.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001370","104.111532","30.886890","0","3.774","","30-SEP-16 11.06.08.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001263","104.111237","30.886887","0","3.966","","30-SEP-16 11.06.48.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001370","104.111532","30.886890","0","3.774","","30-SEP-16 11.07.11.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001263","104.111237","30.886887","0","3.939","","30-SEP-16 11.07.51.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001370","104.111532","30.886890","0","3.769","","30-SEP-16 11.08.17.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001263","104.111237","30.886887","0","3.933","","30-SEP-16 11.08.55.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001370","104.111532","30.886890","0","3.769","","30-SEP-16 11.09.20.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001263","104.111237","30.886887","0","3.928","","30-SEP-16 11.09.59.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001370","104.111532","30.886890","0","3.763","","30-SEP-16 11.10.23.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001263","104.111237","30.886887","0","3.917","","30-SEP-16 11.11.05.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001370","104.111532","30.886890","0","3.769","","30-SEP-16 11.11.28.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001263","104.111237","30.886887","0","3.906","","30-SEP-16 11.12.10.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001370","104.111532","30.886890","0","3.758","","30-SEP-16 11.12.40.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001263","104.111237","30.886887","0","3.895","","30-SEP-16 11.13.17.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001370","104.111532","30.886890","0","3.752","","30-SEP-16 11.13.54.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001263","104.111237","30.886887","0","3.873","","30-SEP-16 11.14.32.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001370","104.111532","30.886890","0","3.752","","30-SEP-16 11.15.11.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001263","104.111237","30.886887","0","3.791","","30-SEP-16 11.15.14.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001263","104.111237","30.886887","0","3.780","","30-SEP-16 11.15.28.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001370","104.111532","30.886890","0","3.747","","30-SEP-16 11.16.17.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001370","104.111532","30.886890","0","3.730","","30-SEP-16 11.17.19.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001263","104.111237","30.886887","0","3.846","","30-SEP-16 11.17.20.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001370","104.111532","30.886890","0","3.719","","30-SEP-16 11.18.22.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001263","104.111237","30.886887","0","3.856","","30-SEP-16 11.18.24.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001263","104.111237","30.886887","0","3.851","","30-SEP-16 11.19.27.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001370","104.111532","30.886890","0","3.708","","30-SEP-16 11.19.38.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001263","104.111237","30.886887","0","3.813","","30-SEP-16 11.20.40.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001263","104.077127","30.803150","0","3.813","","30-SEP-16 11.24.28.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001263","104.077127","30.803150","0","3.829","","30-SEP-16 11.25.50.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001263","104.077127","30.803150","0","3.818","","30-SEP-16 11.27.54.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001370","104.064268","30.783317","0","3.681","","30-SEP-16 11.27.58.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001263","104.077127","30.803150","0","3.813","","30-SEP-16 11.29.23.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001370","104.064268","30.783317","0","3.714","","30-SEP-16 11.29.23.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001370","104.064268","30.783317","0","3.659","","30-SEP-16 11.31.06.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001370","104.064268","30.783317","0","3.708","","30-SEP-16 11.32.38.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001370","104.064268","30.783317","0","3.703","","30-SEP-16 11.33.44.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001263","104.054428","30.717010","0","3.774","","30-SEP-16 11.33.48.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001370","104.064268","30.783317","0","3.703","","30-SEP-16 11.35.09.000000 AM","","",""
